date,close
2025-01-02,100.00
2025-01-03,101.26
2025-01-04,102.50
2025-01-05,103.72
2025-01-06,104.90
2025-01-07,106.02
2025-01-08,107.08
2025-01-09,108.07
2025-01-10,108.96
2025-01-11,109.76
2025-01-12,110.46
2025-01-13,111.05
2025-01-14,111.52
2025-01-15,111.87
2025-01-16,112.10
2025-01-17,112.20
2025-01-18,112.19
2025-01-19,112.05
2025-01-20,111.79
2025-01-21,111.43
2025-01-22,110.95
2025-01-23,110.38
2025-01-24,109.72
2025-01-25,108.98
2025-01-26,108.17
2025-01-27,107.31
2025-01-28,106.40
2025-01-29,105.46
2025-01-30,104.50
2025-01-31,103.54
2025-02-01,102.59
2025-02-02,101.67
2025-02-03,100.78
2025-02-04,99.94
2025-02-05,99.16
2025-02-06,98.45
2025-02-07,97.83
2025-02-08,97.30
2025-02-09,96.88
2025-02-10,96.56
2025-02-11,96.36
2025-02-12,96.27
2025-02-13,96.31
2025-02-14,96.47
2025-02-15,96.76
2025-02-16,97.16
2025-02-17,97.68
2025-02-18,98.32
2025-02-19,99.07
2025-02-20,99.91
2025-02-21,100.85
2025-02-22,101.87
2025-02-23,102.96
2025-02-24,104.11
2025-02-25,105.31
2025-02-26,106.54
2025-02-27,107.79
2025-02-28,109.05
2025-03-01,110.31
2025-03-02,111.54
2025-03-03,112.74
2025-03-04,113.90
2025-03-05,114.99
2025-03-06,116.02
2025-03-07,116.97
2025-03-08,117.82
2025-03-09,118.57
2025-03-10,119.22
2025-03-11,119.76
2025-03-12,120.18
2025-03-13,120.47
2025-03-14,120.64
2025-03-15,120.69
2025-03-16,120.62
2025-03-17,120.43
2025-03-18,120.12
2025-03-19,119.71
2025-03-20,119.19
2025-03-21,118.58
2025-03-22,117.88
2025-03-23,117.11
2025-03-24,116.27
2025-03-25,115.39
2025-03-26,114.46
2025-03-27,113.51
2025-03-28,112.55
2025-03-29,111.60
2025-03-30,110.65
2025-03-31,109.74
2025-04-01,108.87
2025-04-02,108.06
2025-04-03,107.31
2025-04-04,106.64
2025-04-05,106.06
2025-04-06,105.58
2025-04-07,105.20
2025-04-08,104.94
2025-04-09,104.79
2025-04-10,104.76
2025-04-11,104.85
2025-04-12,105.07
2025-04-13,105.41
2025-04-14,105.87
2025-04-15,106.44
2025-04-16,107.13
2025-04-17,107.92
2025-04-18,108.81
2025-04-19,109.78
2025-04-20,110.83
2025-04-21,111.95
2025-04-22,113.13
2025-04-23,114.34
2025-04-24,115.58
2025-04-25,116.84
2025-04-26,118.10
2025-04-27,119.35
2025-04-28,120.57
2025-04-29,121.75
2025-04-30,122.88
2025-05-01,123.95
